epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,3259.34,1.03726,1.04271,1.19727,0.37526,0.26477,0.24603,0.15655,1.63384,3.00255,1.78495,7.7826e-05,7.7826e-05,7.7826e-05
92,3293.62,1.00685,0.9717,1.17225,0.30314,0.29375,0.2506,0.16562,1.62142,2.96184,1.75758,7.07574e-05,7.07574e-05,7.07574e-05
93,3327.06,1.00087,0.94548,1.17484,0.37157,0.2692,0.2503,0.16579,1.62326,2.96319,1.75498,6.36888e-05,6.36888e-05,6.36888e-05
94,3360.03,0.97891,0.92031,1.15576,0.29141,0.30625,0.24934,0.16643,1.6188,2.99257,1.75194,5.66202e-05,5.66202e-05,5.66202e-05
95,3392.04,0.99455,0.92005,1.16701,0.31293,0.28721,0.26049,0.1724,1.61628,3.0022,1.74811,4.95516e-05,4.95516e-05,4.95516e-05
96,3425.42,0.98143,0.93082,1.1608,0.38862,0.24512,0.25546,0.17148,1.61241,3.00251,1.75578,4.2483e-05,4.2483e-05,4.2483e-05
97,3458.45,0.96317,0.89747,1.14982,0.37663,0.2484,0.25244,0.16418,1.61529,3.0489,1.7552,3.54144e-05,3.54144e-05,3.54144e-05
98,3493.29,0.97468,0.9092,1.16227,0.42713,0.23894,0.25342,0.16635,1.61606,3.00033,1.75225,2.83458e-05,2.83458e-05,2.83458e-05
99,3525.74,0.966,0.88038,1.14737,0.43389,0.23357,0.25456,0.16661,1.61936,3.02229,1.75555,2.12772e-05,2.12772e-05,2.12772e-05
100,3559.88,0.96031,0.89275,1.14671,0.39932,0.23908,0.25132,0.16451,1.61801,3.04269,1.75638,1.42086e-05,1.42086e-05,1.42086e-05
